Days Coefficient,Swap Threshold,Trade Threshold,Annualized Return,Standard Deviation,Downside Deviation,Max Drawdown
0,0.002,0.015,1.39,28.33,22.97,-53.71
0,0.002,0.02,1.71,28.34,23.0,-52.96
0,0.002,0.03,2.5,28.34,22.99,-52.28
0,0.002,0.04,2.43,28.35,23.03,-52.07
0,0.002,0.05,1.84,28.43,23.13,-52.6
0,0.005,0.015,1.7,28.33,22.98,-53.41
0,0.005,0.02,2.04,28.35,23.02,-52.73
0,0.005,0.03,2.98,28.36,23.02,-52.05
0,0.005,0.04,2.68,28.36,23.03,-51.57
0,0.005,0.05,1.76,28.42,23.15,-52.45
0,0.01,0.015,1.21,28.35,22.92,-52.75
0,0.01,0.02,1.43,28.38,22.97,-52.38
0,0.01,0.03,2.14,28.37,22.96,-51.93
0,0.01,0.04,1.82,28.34,23.0,-51.86
0,0.01,0.05,1.29,28.41,23.15,-52.41
0,0.015,0.015,1.35,28.34,22.86,-52.48
0,0.015,0.02,1.31,28.39,22.95,-52.06
0,0.015,0.03,1.62,28.39,22.92,-51.87
0,0.015,0.04,1.61,28.39,23.02,-51.51
0,0.015,0.05,1.24,28.43,23.19,-52.04
5,0.002,0.015,1.79,28.29,23.07,-53.44
5,0.002,0.02,2.0,28.29,23.09,-52.7
5,0.002,0.03,2.15,28.32,23.1,-52.81
5,0.002,0.04,2.02,28.32,23.12,-53.03
5,0.002,0.05,1.52,28.38,23.23,-52.64
5,0.005,0.015,2.07,28.26,23.0,-53.28
5,0.005,0.02,2.27,28.26,23.03,-52.52
5,0.005,0.03,2.48,28.29,23.03,-52.48
5,0.005,0.04,2.12,28.26,23.04,-52.55
5,0.005,0.05,1.86,28.32,23.17,-52.17
5,0.01,0.015,1.87,28.28,22.99,-53.21
5,0.01,0.02,1.95,28.28,23.01,-52.89
5,0.01,0.03,2.08,28.3,23.02,-52.78
5,0.01,0.04,2.04,28.31,23.1,-52.6
5,0.01,0.05,1.95,28.34,23.23,-52.49
5,0.015,0.015,2.53,28.29,22.97,-51.65
5,0.015,0.02,2.59,28.29,23.0,-51.17
5,0.015,0.03,2.27,28.33,23.0,-51.02
5,0.015,0.04,2.29,28.29,23.1,-51.28
5,0.015,0.05,2.36,28.34,23.23,-51.46
10,0.002,0.015,1.38,28.24,23.19,-52.79
10,0.002,0.02,1.57,28.2,23.05,-52.56
10,0.002,0.03,1.59,28.2,23.08,-51.8
10,0.002,0.04,1.92,28.22,23.11,-52.27
10,0.002,0.05,1.89,28.25,23.15,-50.73
10,0.005,0.015,0.79,28.2,23.17,-53.86
10,0.005,0.02,1.15,28.16,23.03,-53.64
10,0.005,0.03,1.0,28.16,23.06,-53.0
10,0.005,0.04,1.35,28.15,23.08,-53.13
10,0.005,0.05,1.35,28.26,23.13,-52.05
10,0.01,0.015,1.26,28.24,23.18,-53.96
10,0.01,0.02,1.57,28.2,23.01,-53.76
10,0.01,0.03,1.18,28.24,23.19,-53.33
10,0.01,0.04,1.17,28.19,23.19,-53.22
10,0.01,0.05,1.64,28.26,23.26,-51.56
10,0.015,0.015,2.41,28.21,23.15,-52.46
10,0.015,0.02,2.63,28.17,23.0,-52.14
10,0.015,0.03,2.44,28.23,23.18,-50.86
10,0.015,0.04,2.19,28.18,23.2,-51.48
10,0.015,0.05,2.38,28.24,23.22,-50.83
15,0.002,0.015,1.43,28.14,23.21,-54.32
15,0.002,0.02,1.6,28.15,23.22,-53.74
15,0.002,0.03,1.23,28.13,23.2,-53.53
15,0.002,0.04,2.27,28.14,23.29,-52.85
15,0.002,0.05,1.68,28.2,23.34,-52.04
15,0.005,0.015,1.15,28.18,23.21,-55.03
