Days Coefficient,Swap Threshold,Trade Threshold,Annualized Return,Standard Deviation,Downside Deviation,Max Drawdown
0,0.002,0.015,7.45,28.35,23.03,-48.83
0,0.002,0.02,7.7,28.36,23.04,-48.87
0,0.002,0.03,8.29,28.36,23.02,-49.05
0,0.002,0.04,7.88,28.38,23.06,-49.1
0,0.002,0.05,6.92,28.45,23.16,-49.42
0,0.005,0.015,7.53,28.35,23.04,-48.83
0,0.005,0.02,7.81,28.38,23.07,-48.83
0,0.005,0.03,8.6,28.39,23.06,-48.99
0,0.005,0.04,7.95,28.38,23.08,-49.05
0,0.005,0.05,6.68,28.45,23.18,-49.38
0,0.01,0.015,6.65,28.38,22.98,-48.42
0,0.01,0.02,6.79,28.4,23.02,-48.48
0,0.01,0.03,7.34,28.4,23.01,-48.54
0,0.01,0.04,6.74,28.37,23.04,-48.99
0,0.01,0.05,5.91,28.43,23.17,-49.28
0,0.015,0.015,6.43,28.36,22.9,-48.75
0,0.015,0.02,6.32,28.41,22.98,-48.8
0,0.015,0.03,6.47,28.41,22.93,-48.87
0,0.015,0.04,6.24,28.41,23.05,-49.29
0,0.015,0.05,5.6,28.45,23.21,-49.3
5,0.002,0.015,7.89,28.31,23.13,-49.07
5,0.002,0.02,8.01,28.31,23.16,-49.07
5,0.002,0.03,7.86,28.34,23.14,-49.25
5,0.002,0.04,7.45,28.34,23.16,-49.3
5,0.002,0.05,6.64,28.4,23.26,-49.47
5,0.005,0.015,7.94,28.28,23.06,-49.04
5,0.005,0.02,8.06,28.28,23.09,-49.04
5,0.005,0.03,8.04,28.31,23.08,-49.2
5,0.005,0.04,7.36,28.28,23.09,-49.28
5,0.005,0.05,6.8,28.34,23.21,-49.53
5,0.01,0.015,7.36,28.3,23.04,-49.11
5,0.01,0.02,7.36,28.3,23.06,-49.11
5,0.01,0.03,7.27,28.32,23.06,-49.22
5,0.01,0.04,7.0,28.33,23.15,-49.21
5,0.01,0.05,6.64,28.36,23.25,-49.47
5,0.015,0.015,7.72,28.31,23.01,-48.85
5,0.015,0.02,7.71,28.31,23.03,-48.85
5,0.015,0.03,7.16,28.35,23.02,-49.08
5,0.015,0.04,6.97,28.31,23.13,-49.49
5,0.015,0.05,6.82,28.36,23.25,-49.55
10,0.002,0.015,7.52,28.26,23.26,-49.47
10,0.002,0.02,7.62,28.22,23.11,-49.15
10,0.002,0.03,7.35,28.22,23.14,-49.22
10,0.002,0.04,7.42,28.23,23.16,-49.36
10,0.002,0.05,7.11,28.27,23.2,-49.38
10,0.005,0.015,6.57,28.22,23.23,-49.99
10,0.005,0.02,6.86,28.18,23.09,-49.68
10,0.005,0.03,6.45,28.18,23.1,-49.77
10,0.005,0.04,6.56,28.17,23.12,-49.85
10,0.005,0.05,6.3,28.28,23.16,-49.61
10,0.01,0.015,6.73,28.26,23.24,-49.9
10,0.01,0.02,6.97,28.22,23.07,-49.53
10,0.01,0.03,6.35,28.26,23.24,-49.72
10,0.01,0.04,6.11,28.2,23.24,-50.09
10,0.01,0.05,6.35,28.28,23.3,-49.86
10,0.015,0.015,7.59,28.23,23.21,-49.99
10,0.015,0.02,7.75,28.19,23.05,-49.62
10,0.015,0.03,7.36,28.25,23.23,-49.82
10,0.015,0.04,6.89,28.2,23.24,-50.22
10,0.015,0.05,6.86,28.26,23.27,-49.99
15,0.002,0.015,7.57,28.16,23.27,-50.59
15,0.002,0.02,7.64,28.17,23.28,-50.59
15,0.002,0.03,7.0,28.15,23.25,-50.37
15,0.002,0.04,7.86,28.16,23.33,-50.63
15,0.002,0.05,6.94,28.22,23.37,-50.82
15,0.005,0.015,7.0,28.19,23.26,-50.59
15,0.005,0.02,7.14,28.21,23.27,-50.59
15,0.005,0.03,6.51,28.17,23.24,-50.35
15,0.005,0.04,7.16,28.17,23.28,-50.53
15,0.005,0.05,6.5,28.22,23.32,-50.8
15,0.01,0.015,7.24,28.18,23.21,-50.66
15,0.01,0.02,7.33,28.2,23.21,-50.66
15,0.01,0.03,6.34,28.17,23.18,-50.48
15,0.01,0.04,7.54,28.15,23.21,-50.58
15,0.01,0.05,6.83,28.2,23.24,-51.02
15,0.015,0.015,6.92,28.16,23.2,-50.47
15,0.015,0.02,6.78,28.17,23.21,-50.47
15,0.015,0.03,6.14,28.14,23.22,-50.31
15,0.015,0.04,6.64,28.12,23.19,-50.46
15,0.015,0.05,6.16,28.16,23.25,-50.74
20,0.002,0.015,8.27,28.13,23.18,-50.77
20,0.002,0.02,8.63,28.11,23.14,-50.46
20,0.002,0.03,8.07,28.12,23.18,-50.49
20,0.002,0.04,8.59,28.13,23.21,-50.75
20,0.002,0.05,7.96,28.13,23.16,-50.96
20,0.005,0.015,8.07,28.18,23.27,-50.63
20,0.005,0.02,8.45,28.16,23.22,-50.32
20,0.005,0.03,7.89,28.16,23.26,-50.36
20,0.005,0.04,8.55,28.16,23.29,-50.54
20,0.005,0.05,7.99,28.14,23.25,-51.04
20,0.01,0.015,8.04,28.15,23.24,-50.66
20,0.01,0.02,8.47,28.13,23.21,-50.35
20,0.01,0.03,7.67,28.13,23.24,-50.44
20,0.01,0.04,8.23,28.11,23.23,-50.56
20,0.01,0.05,7.21,28.1,23.2,-51.09
20,0.015,0.015,7.64,28.1,23.22,-50.58
20,0.015,0.02,7.86,28.08,23.18,-50.27
20,0.015,0.03,7.33,28.09,23.24,-50.38
20,0.015,0.04,7.68,28.04,23.21,-50.43
20,0.015,0.05,6.83,28.04,23.19,-50.91
30,0.002,0.015,7.98,28.11,23.32,-50.91
30,0.002,0.02,7.81,28.12,23.34,-50.91
30,0.002,0.03,7.79,28.08,23.35,-50.76
30,0.002,0.04,8.04,28.1,23.36,-50.92
30,0.002,0.05,8.32,28.07,23.35,-51.48
30,0.005,0.015,7.77,28.14,23.38,-51.12
30,0.005,0.02,7.66,28.15,23.4,-51.12
30,0.005,0.03,7.63,28.11,23.43,-50.98
30,0.005,0.04,7.78,28.11,23.42,-51.07
30,0.005,0.05,7.76,28.09,23.42,-51.57
30,0.01,0.015,8.26,28.1,23.35,-50.84
30,0.01,0.02,8.26,28.11,23.37,-50.84
30,0.01,0.03,7.76,28.08,23.38,-50.75
30,0.01,0.04,7.61,28.09,23.35,-50.92
30,0.01,0.05,7.84,28.06,23.34,-51.51
30,0.015,0.015,8.08,28.12,23.37,-50.76
30,0.015,0.02,8.14,28.13,23.39,-50.76
30,0.015,0.03,7.37,28.1,23.39,-50.83
30,0.015,0.04,7.23,28.11,23.38,-51.0
30,0.015,0.05,6.82,28.07,23.33,-51.37
40,0.002,0.015,6.8,27.89,23.3,-50.7
40,0.002,0.02,7.12,27.88,23.31,-50.7
40,0.002,0.03,6.94,27.86,23.27,-50.5
40,0.002,0.04,7.2,27.89,23.29,-50.61
40,0.002,0.05,6.9,27.91,23.31,-50.82
40,0.005,0.015,6.51,27.86,23.33,-51.19
40,0.005,0.02,6.78,27.85,23.34,-51.19
40,0.005,0.03,7.15,27.83,23.28,-51.0
40,0.005,0.04,6.92,27.87,23.28,-51.01
40,0.005,0.05,6.08,27.87,23.3,-51.36
40,0.01,0.015,6.43,27.91,23.32,-50.73
40,0.01,0.02,6.46,27.9,23.31,-50.73
40,0.01,0.03,6.8,27.87,23.25,-50.74
40,0.01,0.04,6.29,27.92,23.25,-50.85
40,0.01,0.05,5.78,27.93,23.26,-51.07
40,0.015,0.015,6.82,27.85,23.25,-50.07
40,0.015,0.02,6.8,27.85,23.25,-50.07
40,0.015,0.03,6.66,27.84,23.21,-50.23
40,0.015,0.04,6.15,27.87,23.21,-50.3
40,0.015,0.05,5.87,27.9,23.24,-50.19
50,0.002,0.015,7.77,27.66,22.97,-49.59
50,0.002,0.02,7.32,27.64,22.94,-49.65
50,0.002,0.03,7.24,27.63,22.93,-49.55
50,0.002,0.04,7.31,27.66,22.96,-49.52
50,0.002,0.05,7.63,27.68,22.95,-49.62
50,0.005,0.015,8.06,27.71,22.99,-49.61
50,0.005,0.02,7.81,27.7,22.96,-49.68
50,0.005,0.03,7.39,27.67,22.95,-49.57
50,0.005,0.04,7.46,27.71,22.97,-49.54
50,0.005,0.05,7.73,27.74,22.96,-49.64
