DATE,SPY US Equity
12/30/2016,223.53
1/3/2017,225.24
1/4/2017,226.58
1/5/2017,226.4
1/6/2017,227.21
1/9/2017,226.46
1/10/2017,226.46
1/11/2017,227.1
1/12/2017,226.53
1/13/2017,227.05
1/17/2017,226.25
1/18/2017,226.75
1/19/2017,225.91
1/20/2017,226.74
1/23/2017,226.15
1/24/2017,227.6
1/25/2017,229.57
1/26/2017,229.33
1/27/2017,228.97
1/30/2017,227.55
1/31/2017,227.53
2/1/2017,227.62
2/2/2017,227.77
2/3/2017,229.34
2/6/2017,228.93
2/7/2017,228.94
2/8/2017,229.24
2/9/2017,230.6
2/10/2017,231.51
2/13/2017,232.77
2/14/2017,233.7
2/15/2017,234.92
2/16/2017,234.72
2/17/2017,235.09
2/21/2017,236.49
2/22/2017,236.28
2/23/2017,236.44
2/24/2017,236.74
2/27/2017,237.11
2/28/2017,236.47
3/1/2017,239.78
3/2/2017,238.27
3/3/2017,238.42
3/6/2017,237.71
3/7/2017,237
3/8/2017,236.56
3/9/2017,236.86
3/10/2017,237.69
3/13/2017,237.81
3/14/2017,236.9
3/15/2017,238.95
3/16/2017,238.48
3/17/2017,238.063118
3/20/2017,237.8019848
3/21/2017,234.7487346
3/22/2017,235.3011319
3/23/2017,235.0500422
3/24/2017,234.8793013
3/27/2017,234.6382552
3/28/2017,236.3456648
3/29/2017,236.5666237
3/30/2017,237.3198926
3/31/2017,236.7674954
4/3/2017,236.3557084
4/4/2017,236.5063622
4/5/2017,235.8033112
4/6/2017,236.4661878
4/7/2017,236.2251418
4/10/2017,236.365752
4/11/2017,236.0845316
4/12/2017,235.0500422
4/13/2017,233.5234171
4/17/2017,235.5923959
4/18/2017,234.8893448
4/19/2017,234.4574706
4/20/2017,236.365752
4/21/2017,235.612483
4/24/2017,238.2037282
4/25/2017,239.5897431
4/26/2017,239.4390893
4/27/2017,239.639961
4/28/2017,239.1176945
5/1/2017,239.7203097
5/2/2017,239.810702
5/3/2017,239.519438
5/4/2017,239.8006584
5/5/2017,240.7447555
5/8/2017,240.7045811
5/9/2017,240.4836222
5/10/2017,240.9154964
5/11/2017,240.4233607
5/12/2017,240.0216173
5/15/2017,241.3473706
5/16/2017,241.1264117
5/17/2017,236.8478441
5/18/2017,237.8019848
5/19/2017,239.348697
5/22/2017,240.5639709
5/23/2017,241.096281
5/24/2017,241.6587218
5/25/2017,242.8137342
5/26/2017,242.7635162
5/30/2017,242.5526009
5/31/2017,242.4923394
6/1/2017,244.4207079
6/2/2017,245.2342384
6/5/2017,245.0534538
6/6/2017,244.2700541
6/7/2017,244.7220155
6/8/2017,244.8425385
6/9/2017,244.4709258
6/12/2017,244.4207079
6/13/2017,245.6158946
6/14/2017,245.3045435
6/15/2017,244.8324949
6/16/2017,244.8858344
6/19/2017,246.9245312
6/20/2017,245.2592591
6/21/2017,245.1987037
6/22/2017,245.0876856
6/23/2017,245.3803698
6/26/2017,245.5418507
6/27/2017,243.5637093
6/28/2017,245.7437019
6/29/2017,243.5838944
6/30/2017,244.0380595
7/3/2017,244.4518544
7/5/2017,245.0170377
7/6/2017,242.7764897
7/7/2017,244.3509288
7/10/2017,244.6133353
7/11/2017,244.4316693
7/12/2017,246.2685149
7/13/2017,246.6823098
7/14/2017,247.8328614
7/17/2017,247.8025838
7/18/2017,247.933787
7/19/2017,249.2760973
7/20/2017,249.3871154
7/21/2017,249.1650791
7/24/2017,249.1045238
7/25/2017,249.7100773
7/26/2017,249.7201698
7/27/2017,249.488041
7/28/2017,249.1953568
7/31/2017,249.054061
8/1/2017,249.6091517
8/2/2017,249.7302624
8/3/2017,249.2458196
8/4/2017,249.6999847
8/7/2017,250.1642424
8/8/2017,249.5485963
8/9/2017,249.5385038
8/10/2017,246.0162009
8/11/2017,246.379533
8/14/2017,248.8219321
8/15/2017,248.7916545
8/16/2017,249.2256345
8/17/2017,245.3399995
8/18/2017,244.9564823
8/21/2017,245.1482409
8/22/2017,247.7117507
8/23/2017,246.8236056
8/24/2017,246.2483298
8/25/2017,246.8236056
8/28/2017,246.8336982
8/29/2017,247.1162898
8/30/2017,248.2870266
8/31/2017,249.7807252
9/1/2017,250.1339647
9/5/2017,248.3374893
9/6/2017,249.1852642
9/7/2017,249.1549866
9/8/2017,248.8623024
9/11/2017,251.5166452
9/12/2017,252.3644201
9/13/2017,252.4855308
9/14/2017,252.4047903
