Days Coefficient,Swap Threshold,Trade Threshold,Annualized Return,Standard Deviation,Downside Deviation,Max Drawdown,Swap Count,Trade Days Count
90,0.002,0.03,12.08,25.75,21.48,-46.65,3303,1406
90,0.01,0.03,11.97,25.75,21.42,-46.51,2965,1407
90,0.005,0.03,11.96,25.74,21.43,-46.64,3145,1410
90,0.015,0.03,11.89,25.76,21.41,-46.46,2795,1410
80,0.002,0.02,11.74,25.88,21.46,-46.57,3437,1527
80,0.002,0.015,11.65,25.86,21.45,-46.57,3487,1571
90,0.002,0.02,11.59,25.75,21.48,-46.39,3436,1526
80,0.005,0.02,11.57,25.85,21.45,-46.42,3289,1524
80,0.015,0.02,11.51,25.83,21.4,-46.41,2893,1513
90,0.002,0.015,11.48,25.77,21.48,-46.49,3485,1572
90,0.015,0.02,11.48,25.76,21.45,-46.11,2894,1530
80,0.005,0.015,11.45,25.82,21.44,-46.42,3333,1567
80,0.002,0.03,11.43,25.9,21.45,-46.58,3282,1393
90,0.005,0.02,11.4,25.74,21.43,-46.39,3270,1524
90,0.01,0.02,11.34,25.75,21.43,-46.25,3072,1526
80,0.01,0.02,11.31,25.82,21.38,-46.57,3052,1519
80,0.015,0.015,11.3,25.82,21.4,-46.41,2935,1567
90,0.015,0.015,11.25,25.77,21.46,-46.07,2927,1570
90,0.005,0.015,11.21,25.75,21.44,-46.49,3321,1571
100,0.002,0.03,11.18,25.63,21.45,-46.6,3274,1389
80,0.01,0.03,11.18,25.82,21.36,-46.35,2932,1394
80,0.01,0.015,11.16,25.81,21.38,-46.57,3094,1568
80,0.005,0.03,11.14,25.86,21.43,-46.42,3146,1397
100,0.005,0.03,11.02,25.63,21.44,-46.79,3151,1395
100,0.002,0.02,11.02,25.59,21.44,-46.21,3417,1521
80,0.015,0.03,10.99,25.84,21.36,-46.51,2772,1389
90,0.01,0.015,10.95,25.77,21.45,-46.49,3107,1568
60,0.002,0.015,10.86,26.18,21.81,-48.99,3434,1549
100,0.002,0.015,10.76,25.6,21.43,-46.15,3465,1571
60,0.005,0.015,10.73,26.17,21.8,-48.99,3281,1543
60,0.005,0.02,10.71,26.17,21.8,-49.03,3246,1503
60,0.002,0.02,10.69,26.17,21.8,-48.98,3397,1509
100,0.005,0.015,10.67,25.61,21.41,-46.34,3329,1568
100,0.005,0.02,10.65,25.59,21.41,-46.4,3278,1521
20,0.002,0.02,10.6,26.69,22.1,-50.46,3347,1504
60,0.002,0.03,10.55,26.18,21.83,-48.87,3268,1398
90,0.015,0.04,10.52,25.8,21.47,-46.5,2667,1297
100,0.01,0.03,10.49,25.63,21.45,-46.79,2937,1389
100,0.01,0.02,10.49,25.58,21.41,-46.21,3059,1517
20,0.002,0.04,10.47,26.7,22.14,-50.75,3077,1286
60,0.005,0.03,10.45,26.17,21.84,-48.92,3133,1390
20,0.005,0.02,10.42,26.74,22.18,-50.32,3229,1503
20,0.005,0.04,10.4,26.73,22.22,-50.54,2990,1291
20,0.002,0.015,10.39,26.71,22.12,-50.77,3414,1558
100,0.01,0.015,10.37,25.59,21.41,-46.15,3096,1562
80,0.015,0.04,10.33,25.81,21.38,-46.77,2665,1289
90,0.002,0.04,10.3,25.81,21.55,-47.09,3137,1291
20,0.01,0.02,10.3,26.72,22.15,-50.35,3012,1492
90,0.01,0.04,10.29,25.8,21.46,-46.89,2815,1285
70,0.015,0.015,10.26,26.14,21.9,-48.88,2924,1560
30,0.01,0.015,10.26,26.68,22.27,-50.84,3074,1550
100,0.002,0.05,10.25,25.61,21.49,-46.83,2971,1178
70,0.015,0.02,10.22,26.15,21.89,-48.88,2883,1508
70,0.01,0.015,10.21,26.16,21.85,-48.79,3074,1558
70,0.01,0.02,10.2,26.18,21.85,-48.68,3036,1507
0,0.005,0.03,10.2,26.97,22.03,-48.99,3072,1380
100,0.002,0.04,10.2,25.65,21.5,-46.55,3105,1281
20,0.005,0.015,10.19,26.76,22.21,-50.63,3293,1559
